Carbon,pH,EC,Nitrogen,Phosphorus,Potassium,Crop_Name,mean_smi,mean_ndwi,mean_msi
0.3,7.4,0.41,141.12,16.45,295.72,Soyabean,0.661869289,-0.239643561,1.009821953
0.45,7.5,0.33,203.84,22.81,675.94,Soyabean,0.662363079,-0.238586941,1.013599012
0.3,7.2,0.4,125.44,19.08,390.78,Soyabean,0.541200079,-0.221882089,1.04499323
0.42,8.2,0.74,344.96,22.81,475.27,Soyabean,0.488084454,-0.201002358,1.067660243
0.14,6.9,0.69,172.48,16.23,591.45,Soyabean,0.595244987,-0.232173892,1.050542952
0.58,8.0,0.38,266.56,31.8,380.22,Soyabean,0.488084454,-0.201002358,1.067660243
0.6,7.4,0.48,125.44,21.05,602.1,Soyabean,0.44931398,-0.289591092,1.065428113
0.65,8.1,0.3,125.44,27.41,454.15,Soyabean,0.54391635,-0.247409069,1.04770497
0.43,7.6,0.47,78.4,23.68,517.52,Soyabean,0.440994411,-0.260422452,1.072484198
0.37,7.8,0.55,78.4,23.9,380.22,Soyabean,0.523446446,-0.242037485,1.072717629
1.06,8.0,0.49,250.88,17.11,348.53,Soyabean,0.488084454,-0.201002358,1.067660243
0.34,8.1,0.42,156.8,38.82,232.36,Soyabean,0.578839654,-0.208992918,1.032141396
0.41,8.0,0.5,203.84,22.15,686.5,Soyabean,0.563644836,-0.214507964,1.042173185
0.43,7.8,0.46,172.48,18.42,242.92,Soyabean,0.464180426,-0.216941884,1.068016285
0.4,7.4,0.45,78.4,29.39,411.9,Soyabean,0.490508811,-0.229838164,1.084436862
0.49,7.3,0.36,141.12,24.78,612.57,Soyabean,0.445432244,-0.200404575,1.068295433
0.34,7.4,0.28,125.44,22.15,654.82,Soyabean,0.488084454,-0.201002358,1.067660243
0.44,7.1,0.22,219.52,22.37,433.03,Soyabean,0.41921894,-0.202737266,1.085801437
0.42,7.2,0.41,94.08,21.05,422.46,Soyabean,0.381248109,-0.159796442,1.092298738
0.91,8.2,0.28,156.8,18.86,781.56,Soyabean,0.488084454,-0.201002358,1.067660243
0.35,7.2,0.62,235.2,27.41,570.33,Soyabean,0.488084454,-0.201002358,1.067660243
0.35,7.1,0.26,141.12,20.61,549.2,Soyabean,0.364578749,-0.189973434,1.124859892
0.75,7.9,0.6,188.16,21.49,464.71,Soyabean,0.556223676,-0.19984821,1.042896702
0.32,8.0,0.33,125.44,35.09,274.6,Soyabean,0.528575135,-0.198046955,1.056894193
0.25,8.1,0.48,188.16,25.22,528.08,Soyabean,0.44142615,-0.205531929,1.078385386
0.28,7.7,0.8,94.08,24.34,380.22,Soyabean,0.472290448,-0.197348242,1.094541584
0.15,6.8,0.68,250.88,21.93,242.92,Soyabean,0.547797978,-0.198600862,1.045522863
0.42,8.1,0.48,329.28,26.97,855.49,Soyabean,0.504041206,-0.198367859,1.064371065
0.73,7.6,0.35,172.48,19.52,337.97,Soyabean,0.404198194,-0.207427697,1.089678953
0.25,8.3,0.34,125.44,18.42,411.9,Soyabean,0.44134991,-0.189806211,1.104933786
0.37,7.4,0.76,141.12,24.56,886.05,Soyabean,0.442238832,-0.194077899,1.071673835
0.83,7.9,0.23,141.12,10.31,570.33,Soyabean,0.377150807,-0.206109487,1.100386574
0.62,7.9,0.55,235.2,17.76,390.78,Soyabean,0.350356002,-0.207219681,1.106081247
0.61,7.4,0.34,407.68,22.37,760.44,Soyabean,0.488084454,-0.201002358,1.067660243
0.8,7.2,0.39,203.84,37.5,333.97,Soyabean,0.488084454,-0.201002358,1.067660243
0.54,7.3,0.28,172.48,20.18,802.68,Soyabean,0.457647467,-0.183502115,1.067500576
0.57,7.9,0.49,125.44,11.18,433.03,Soyabean,0.43106367,-0.179595475,1.084987248
0.77,8.1,0.58,109.76,20.18,464.71,Soyabean,0.290464336,-0.228108514,1.123647835
0.6,8.0,0.42,156.8,18.42,443.59,Soyabean,0.365794768,-0.178480292,1.128959651
0.51,7.4,0.44,188.16,13.82,316.85,Soyabean,0.262196561,-0.220129137,1.118284297
0.5,7.5,0.32,219.52,26.32,887.17,Soyabean,0.261488069,-0.232295434,1.132387589
0.41,7.4,0.29,125.44,16.89,665.38,Soyabean,0.488084454,-0.201002358,1.067660243
0.53,7.3,0.4,141.12,12.72,633.7,Soyabean,0.488084454,-0.201002358,1.067660243
0.69,7.5,0.45,360.64,18.2,718.19,Soyabean,0.488084454,-0.201002358,1.067660243
0.3,8.1,0.31,109.76,27.41,675.94,Soyabean,0.31875599,-0.187936511,1.111034211
0.68,8.0,0.43,266.56,30.04,464.71,Soyabean,0.488084454,-0.201002358,1.067660243
0.62,7.9,0.45,94.08,28.73,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
1.03,7.5,0.32,266.56,25.88,686.5,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.8,0.35,172.48,18.2,517.52,Soyabean,0.488084454,-0.201002358,1.067660243
0.41,7.5,0.4,235.2,23.68,464.71,Soyabean,0.488084454,-0.201002358,1.067660243
0.47,7.5,0.39,172.48,22.15,316.85,Soyabean,0.488084454,-0.201002358,1.067660243
0.67,7.6,0.36,141.12,18.86,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.73,8.0,0.37,156.8,14.47,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.38,7.6,0.34,313.6,25.44,517.52,Soyabean,0.373188983,-0.168437775,1.126181997
1.09,7.1,0.26,172.48,19.08,295.72,Soyabean,0.403352733,-0.175620118,1.080966106
0.77,7.9,0.64,188.16,13.38,591.45,Soyabean,0.413650402,-0.174688639,1.073219829
0.29,7.7,0.55,156.8,27.63,359.09,Soyabean,0.418208071,-0.17822399,1.079872651
0.41,7.4,0.35,94.08,28.73,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
0.44,7.4,0.72,62.72,21.49,528.08,Soyabean,0.488084454,-0.201002358,1.067660243
0.43,7.6,0.85,141.12,14.25,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.45,7.9,0.56,109.76,14.47,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.3,7.3,0.4,172.48,25.88,749.87,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.6,0.44,94.08,18.42,591.45,Soyabean,0.488084454,-0.201002358,1.067660243
0.41,8.1,0.52,109.76,17.76,623.13,Soyabean,0.488084454,-0.201002358,1.067660243
0.38,7.2,0.45,172.48,10.96,162.57,Soyabean,0.488084454,-0.201002358,1.067660243
0.7,7.5,0.85,109.76,13.38,771.0,Soyabean,0.488084454,-0.201002358,1.067660243
0.5,7.1,0.3,125.44,21.05,528.08,Soyabean,0.488084454,-0.201002358,1.067660243
0.5,7.8,0.54,172.48,13.82,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
1.2,7.5,0.54,329.28,26.97,781.56,Soyabean,0.488084454,-0.201002358,1.067660243
0.82,7.4,0.47,235.2,27.85,939.98,Soyabean,0.488084454,-0.201002358,1.067660243
0.97,8.1,0.54,203.84,22.37,475.23,Soyabean,0.488084454,-0.201002358,1.067660243
0.34,7.1,0.24,125.44,25.0,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
0.24,7.8,0.61,141.12,20.61,612.57,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,7.5,0.74,172.48,30.04,517.52,Soyabean,0.488084454,-0.201002358,1.067660243
0.4,7.7,0.31,156.8,18.86,739.31,Soyabean,0.488084454,-0.201002358,1.067660243
0.38,7.6,0.65,94.08,24.34,485.83,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,7.6,0.44,78.4,21.05,433.03,Soyabean,0.488084454,-0.201002358,1.067660243
0.32,7.3,0.43,219.52,21.71,443.59,Soyabean,0.488084454,-0.201002358,1.067660243
0.48,7.1,0.3,156.8,26.53,559.76,Soyabean,0.488084454,-0.201002358,1.067660243
0.47,7.4,0.58,109.76,17.54,538.64,Soyabean,0.488084454,-0.201002358,1.067660243
0.55,7.6,0.38,109.76,27.63,538.64,Soyabean,0.488084454,-0.201002358,1.067660243
0.4,7.5,0.33,156.8,29.17,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.49,7.5,0.66,250.88,14.25,496.4,Soyabean,0.488084454,-0.201002358,1.067660243
0.48,7.7,0.22,78.4,23.68,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
1.07,7.6,0.54,188.16,15.35,623.13,Soyabean,0.488084454,-0.201002358,1.067660243
0.68,7.6,0.77,109.76,16.26,654.82,Soyabean,0.488084454,-0.201002358,1.067660243
0.81,7.8,0.32,94.08,26.31,644.26,Soyabean,0.443670095,-0.154782149,1.059472689
0.78,7.7,0.53,156.8,19.52,464.71,Soyabean,0.426497968,-0.174842869,1.125201243
