Carbon,pH,EC,Nitrogen,Phosphorus,Potassium,Crop_Name,mean_smi,mean_ndwi,mean_msi,SFI,Fertility_Level,Ideal_Crop
0.3,7.4,41.0,141.12,16.45,295.72,Soyabean,0.661869289,-0.239643561,1.009821953,1.6666666666666667,Low,Tomato
0.45,7.5,33.0,203.84,22.81,675.94,Soyabean,0.662363079,-0.238586941,1.013599012,2.0,Medium,Onion
0.3,7.2,40.0,125.44,19.08,390.78,Soyabean,0.541200079,-0.221882089,1.04499323,1.8333333333333333,Medium,Cotton
0.42,8.2,74.0,344.96,22.81,475.27,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.14,6.9,69.0,172.48,16.23,591.45,Soyabean,0.595244987,-0.232173892,1.050542952,1.8333333333333333,Medium,Onion
0.58,8.0,38.0,266.56,31.8,380.22,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Rice
0.6,7.4,48.0,125.44,21.05,602.1,Soyabean,0.44931398,-0.289591092,1.065428113,2.1666666666666665,Medium,Cotton
0.65,8.1,30.0,125.44,27.41,454.15,Soyabean,0.54391635,-0.247409069,1.04770497,2.3333333333333335,High,Soyabean
0.43,7.6,47.0,78.4,23.68,517.52,Soyabean,0.440994411,-0.260422452,1.072484198,2.1666666666666665,Medium,Cotton
0.37,7.8,55.00000000000001,78.4,23.9,380.22,Soyabean,0.523446446,-0.242037485,1.072717629,2.1666666666666665,Medium,Cotton
1.06,8.0,49.0,250.88,17.11,348.53,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Rice
0.34,8.1,42.0,156.8,38.82,232.36,Soyabean,0.578839654,-0.208992918,1.032141396,2.0,Medium,Onion
0.41,8.0,50.0,203.84,22.15,686.5,Soyabean,0.563644836,-0.214507964,1.042173185,2.1666666666666665,Medium,Onion
0.43,7.8,46.0,172.48,18.42,242.92,Soyabean,0.464180426,-0.216941884,1.068016285,1.8333333333333333,Medium,Onion
0.4,7.4,45.0,78.4,29.39,411.9,Soyabean,0.490508811,-0.229838164,1.084436862,2.0,Medium,Cotton
0.49,7.3,36.0,141.12,24.78,612.57,Soyabean,0.445432244,-0.200404575,1.068295433,2.0,Medium,Cotton
0.34,7.4,28.000000000000004,125.44,22.15,654.82,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.44,7.1,22.0,219.52,22.37,433.03,Soyabean,0.41921894,-0.202737266,1.085801437,2.0,Medium,Onion
0.42,7.2,41.0,94.08,21.05,422.46,Soyabean,0.381248109,-0.159796442,1.092298738,2.0,Medium,Cotton
0.91,8.2,28.000000000000004,156.8,18.86,781.56,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Potato
0.35,7.2,62.0,235.2,27.41,570.33,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Sorghum
0.35,7.1,26.0,141.12,20.61,549.2,Soyabean,0.364578749,-0.189973434,1.124859892,2.0,Medium,Cotton
0.75,7.9,60.0,188.16,21.49,464.71,Soyabean,0.556223676,-0.19984821,1.042896702,2.3333333333333335,High,Potato
0.32,8.0,33.0,125.44,35.09,274.6,Soyabean,0.528575135,-0.198046955,1.056894193,2.0,Medium,Cotton
0.25,8.1,48.0,188.16,25.22,528.08,Soyabean,0.44142615,-0.205531929,1.078385386,2.1666666666666665,Medium,Onion
0.28,7.7,80.0,94.08,24.34,380.22,Soyabean,0.472290448,-0.197348242,1.094541584,2.1666666666666665,Medium,Cotton
0.15,6.8,68.0,250.88,21.93,242.92,Soyabean,0.547797978,-0.198600862,1.045522863,2.0,Medium,Sorghum
0.42,8.1,48.0,329.28,26.97,855.49,Soyabean,0.504041206,-0.198367859,1.064371065,2.3333333333333335,High,Wheat
0.73,7.6,35.0,172.48,19.52,337.97,Soyabean,0.404198194,-0.207427697,1.089678953,2.1666666666666665,Medium,Onion
